dteday,hum,weathersit,holiday,season,atemp,temp,hr,casual,registered,cnt
2011-01-02,0.71,3,0,1,0.3333,0.34,16,9,67,76
2012-01-05,0.39,1,0,1,0.3182,0.34,14,13,104,117
2012-08-13,0.69,1,0,3,0.6061,0.64,5,3,33,36
2012-01-10,0.93,2,0,1,0.1818,0.18,6,0,79,79
2012-10-11,0.36,1,0,4,0.4848,0.5,16,68,413,481
2011-11-24,0.71,1,1,4,0.3485,0.36,22,8,14,22
2011-06-01,0.89,2,0,2,0.5909,0.66,5,2,19,21
2012-11-02,0.66,2,0,4,0.3182,0.32,5,1,25,26
2011-02-18,0.08,1,0,1,0.5,0.52,23,16,61,77
2011-05-19,0.94,1,0,2,0.4697,0.48,5,2,24,26
2012-10-12,0.36,1,0,4,0.5,0.52,10,75,200,275
2011-09-20,0.88,2,0,3,0.5152,0.54,5,1,21,22
2012-11-20,0.71,1,0,4,0.3788,0.36,21,14,143,157
2011-04-05,0.38,1,0,2,0.4242,0.42,17,27,246,273
2012-03-27,0.32,1,0,2,0.2121,0.24,4,0,3,3
2012-08-15,0.61,1,0,3,0.6515,0.7,22,29,197,226
2011-12-05,0.87,2,0,4,0.3636,0.36,9,12,178,190
2011-08-09,0.79,1,0,3,0.697,0.72,0,10,25,35
2011-03-06,1.0,2,0,1,0.4242,0.42,11,18,44,62
2011-01-09,0.53,1,0,1,0.0909,0.08,7,1,5,6
2011-06-03,0.49,1,0,2,0.5152,0.54,3,0,5,5
2011-06-06,0.51,1,0,2,0.6667,0.72,10,31,64,95
2012-06-27,0.46,1,0,3,0.5455,0.58,6,7,193,200
2012-05-04,0.88,1,0,2,0.5303,0.56,3,0,14,14
2011-03-11,0.81,1,0,1,0.2879,0.3,5,1,6,7
2011-10-27,0.83,2,0,4,0.5,0.52,14,16,76,92
2012-09-11,0.28,1,0,3,0.6364,0.7,17,168,802,970
2012-11-22,0.7,1,1,4,0.2727,0.26,6,2,15,17
2012-09-13,0.77,1,0,3,0.5152,0.54,2,0,9,9
2012-11-27,0.81,2,0,4,0.2879,0.3,5,0,31,31
2012-05-17,0.52,1,0,2,0.5152,0.54,9,57,289,346
2012-02-09,0.39,1,0,1,0.303,0.32,14,18,126,144
2011-11-14,0.59,1,0,4,0.4545,0.46,0,8,22,30
2011-05-25,0.51,1,0,2,0.6667,0.74,16,61,238,299
2011-01-08,0.69,2,0,1,0.1818,0.2,11,2,60,62
2012-12-29,0.79,1,0,1,0.2424,0.26,17,18,100,118
2012-02-08,0.7,2,0,1,0.2879,0.24,6,3,95,98
2012-11-10,0.76,1,0,4,0.3333,0.32,0,16,106,122
2012-12-24,0.87,3,0,1,0.2576,0.24,14,13,33,46
2012-04-02,0.88,3,0,2,0.4242,0.42,1,0,5,5
2011-05-29,0.88,2,0,2,0.5606,0.62,6,5,10,15
2012-04-01,0.55,2,0,2,0.4697,0.48,14,283,278,561
2012-05-05,0.65,1,0,2,0.6212,0.66,10,148,284,432
2011-12-27,0.64,2,0,1,0.2727,0.3,5,0,8,8
2011-12-25,0.61,1,0,1,0.3333,0.34,15,43,48,91
2011-09-10,1.0,1,0,3,0.5455,0.58,3,8,29,37
2011-04-01,0.87,2,0,2,0.2424,0.26,8,8,198,206
2011-02-11,0.73,1,0,1,0.1667,0.08,7,1,73,74
2011-01-13,0.4,1,0,1,0.1818,0.2,17,4,158,162
2011-02-17,0.66,1,0,1,0.3333,0.32,5,1,11,12
2012-04-29,0.87,2,0,2,0.3485,0.36,3,2,14,16
2011-11-05,0.37,1,0,4,0.4091,0.4,13,148,207,355
2012-02-24,0.87,1,0,1,0.4091,0.4,4,0,2,2
2012-07-10,0.89,3,0,3,0.5758,0.64,21,7,83,90
2011-08-06,0.62,1,0,3,0.7424,0.78,11,138,211,349
2011-07-28,0.54,1,0,3,0.6667,0.72,3,0,5,5
2011-11-16,0.94,2,0,4,0.4545,0.46,0,5,26,31
2012-12-01,0.81,2,0,4,0.3485,0.32,23,10,116,126
2012-10-27,0.53,1,0,4,0.6212,0.6,12,264,404,668
2012-08-31,0.58,1,0,3,0.7121,0.76,21,71,232,303
2011-06-19,0.48,2,0,2,0.6818,0.76,16,121,257,378
2012-06-20,0.59,1,0,2,0.7424,0.78,23,21,102,123
2012-05-01,0.45,1,0,2,0.6667,0.74,16,41,313,354
2011-11-21,0.94,2,0,4,0.4545,0.46,8,13,378,391
2011-01-04,0.48,1,0,1,0.2727,0.28,17,10,202,212
2012-06-30,0.52,1,0,3,0.7727,0.82,21,48,165,213
2011-11-12,0.7,1,0,4,0.2576,0.26,8,14,87,101
2012-06-10,0.3,1,0,2,0.7273,0.84,14,186,314,500
2011-03-19,0.5,1,0,1,0.4091,0.4,7,4,9,13
2011-04-19,0.65,2,0,2,0.5152,0.54,15,44,83,127
2011-08-30,0.5,1,0,3,0.6212,0.66,20,39,259,298
2011-05-29,0.7,1,0,2,0.6818,0.72,13,237,181,418
2012-03-09,0.33,1,0,1,0.303,0.32,23,9,77,86
2012-08-07,0.74,2,0,3,0.6667,0.7,9,44,283,327
2011-12-03,0.7,1,0,4,0.2424,0.24,3,4,5,9
2012-05-22,0.78,1,0,2,0.5909,0.62,21,28,233,261
2011-12-13,0.37,1,0,4,0.4091,0.4,14,18,116,134
2012-08-11,0.83,1,0,3,0.5758,0.64,7,8,54,62
2012-11-27,0.75,2,0,4,0.2727,0.3,16,5,252,257
2011-08-02,0.61,1,0,3,0.6667,0.72,7,15,320,335
2011-02-26,0.6,1,0,1,0.2576,0.22,7,1,21,22
2012-10-27,0.6,2,0,4,0.5303,0.56,15,310,401,711
2012-03-21,0.94,2,0,2,0.4697,0.48,6,10,139,149
2011-11-05,0.6,1,0,4,0.2273,0.26,5,0,2,2
2011-10-12,0.88,2,0,4,0.5303,0.56,16,5,50,55
2012-08-18,0.37,1,0,3,0.6515,0.74,18,225,329,554
2012-01-26,0.71,2,0,1,0.4091,0.4,16,15,209,224
2012-05-25,0.83,2,0,2,0.5758,0.62,2,7,16,23
2012-10-31,0.81,2,0,4,0.303,0.3,5,0,24,24
2011-11-18,0.36,1,0,4,0.303,0.3,11,18,122,140
2012-11-10,0.87,1,0,4,0.3182,0.28,5,1,9,10
2012-07-14,0.79,2,0,3,0.697,0.72,16,226,340,566
2012-11-29,0.64,1,0,4,0.2576,0.2,7,8,354,362
2012-07-17,0.55,2,0,3,0.7576,0.8,8,43,618,661
2012-04-26,0.48,2,0,2,0.4697,0.48,1,1,22,23
2011-08-16,0.73,1,0,3,0.5909,0.62,2,1,3,4
2012-11-23,0.38,1,0,4,0.4545,0.46,13,224,200,424
2011-03-26,0.23,1,0,2,0.3333,0.34,16,118,130,248
2011-10-23,0.87,1,0,4,0.3788,0.36,0,24,64,88
2011-08-08,0.52,1,0,3,0.7424,0.8,10,62,62,124
2012-02-16,0.7,2,0,1,0.303,0.3,9,3,199,202
2011-01-15,0.36,2,0,1,0.303,0.32,17,29,54,83
2011-10-27,0.67,2,0,4,0.4394,0.44,19,19,200,219
2012-11-22,0.71,1,1,4,0.3636,0.34,20,15,37,52
2012-01-19,0.44,2,0,1,0.2273,0.26,18,16,345,361
2011-06-26,0.61,1,0,3,0.6212,0.64,8,29,78,107
2011-08-26,0.84,1,0,3,0.6667,0.7,23,22,114,136
2011-09-09,1.0,3,0,3,0.5152,0.62,7,4,104,108
2012-12-16,0.82,2,0,4,0.4091,0.4,22,6,83,89
2012-06-12,0.83,3,0,2,0.6061,0.66,11,8,57,65
2012-01-27,0.53,1,0,1,0.2879,0.34,21,8,127,135
2011-04-12,0.64,2,0,2,0.5303,0.56,4,4,2,6
2011-09-24,0.78,1,0,4,0.5909,0.64,13,170,290,460
2011-09-18,0.6,1,0,3,0.5303,0.56,13,162,214,376
2011-01-22,0.41,1,0,1,0.0303,0.04,9,3,37,40
2011-09-08,0.94,3,0,3,0.5455,0.62,1,0,4,4
2012-11-01,0.54,2,0,4,0.4091,0.4,15,35,179,214
2011-11-29,0.82,2,0,4,0.4091,0.4,19,6,244,250
2012-08-02,0.41,1,0,3,0.7879,0.86,14,54,171,225
2011-11-20,0.6,2,0,4,0.5152,0.54,13,84,285,369
2012-04-02,0.28,1,0,2,0.4545,0.46,21,24,214,238
2011-07-17,0.49,1,0,3,0.7424,0.8,13,200,272,472
2012-08-12,0.65,1,0,3,0.6061,0.64,7,9,30,39
2012-09-14,0.45,1,0,3,0.6515,0.72,18,116,692,808
2011-05-21,0.47,1,0,2,0.6364,0.68,19,117,184,301
2011-08-14,0.89,3,0,3,0.5758,0.64,1,16,57,73
2011-02-19,0.18,1,0,1,0.4394,0.44,12,38,81,119
2012-06-24,0.55,1,0,3,0.6818,0.74,22,53,125,178
2011-07-21,0.84,2,0,3,0.7121,0.72,4,0,4,4
2012-08-15,0.65,1,0,3,0.6364,0.68,23,18,120,138
2012-07-24,0.58,1,0,3,0.6818,0.74,23,38,154,192
2011-01-15,0.39,1,0,1,0.2879,0.3,14,26,92,118
2011-07-28,0.53,1,0,3,0.803,0.84,12,35,151,186
2012-11-16,0.53,1,0,4,0.3485,0.34,9,21,330,351
2012-11-06,0.49,1,0,4,0.2879,0.3,10,41,189,230
2011-03-11,0.53,1,0,1,0.3333,0.36,13,15,92,107
2012-05-02,0.65,1,0,2,0.6061,0.64,16,54,313,367
2012-06-13,0.32,1,0,2,0.6515,0.72,15,65,216,281
2011-05-01,0.67,1,0,2,0.4242,0.42,0,19,77,96
2011-08-09,0.39,1,0,3,0.7727,0.86,15,58,106,164
2012-02-11,0.47,2,0,1,0.1818,0.22,18,3,105,108
2011-10-25,0.37,1,0,4,0.5303,0.56,13,37,161,198
2011-03-01,0.64,1,0,1,0.1818,0.2,5,1,1,2
2012-08-02,0.7,1,0,3,0.6818,0.72,23,25,152,177
2011-05-07,0.35,1,0,2,0.6212,0.6,13,196,240,436
2011-06-05,0.78,2,0,2,0.5758,0.6,9,53,111,164
2012-04-10,0.36,1,0,2,0.4848,0.5,11,78,161,239
2011-11-08,0.93,1,0,4,0.3333,0.32,1,3,8,11
2012-09-14,0.83,1,0,3,0.5152,0.54,5,1,40,41
2011-10-30,0.43,1,0,4,0.4091,0.4,13,113,232,345
2012-07-24,0.83,1,0,3,0.6061,0.66,6,17,173,190
2012-12-16,0.87,2,0,4,0.3485,0.36,8,12,76,88
2011-12-08,0.81,1,0,4,0.2273,0.26,1,1,6,7
2012-07-09,0.45,2,0,3,0.6818,0.76,15,66,214,280
2011-08-07,0.63,1,0,3,0.8333,0.82,11,113,156,269
2011-07-09,0.88,2,0,3,0.5606,0.62,5,4,11,15
2012-03-05,0.55,3,0,1,0.2273,0.28,18,12,363,375
2011-05-24,0.78,3,0,2,0.5909,0.64,7,26,288,314
2012-10-09,0.83,1,0,4,0.3939,0.38,7,5,357,362
2011-05-25,0.88,1,0,2,0.5303,0.56,5,2,23,25
2011-10-21,0.58,2,0,4,0.4242,0.42,9,33,189,222
2012-04-14,0.27,2,0,2,0.6212,0.64,16,253,329,582
2011-02-10,0.28,1,0,1,0.1667,0.14,19,2,110,112
2012-05-11,0.35,1,0,2,0.5303,0.56,22,44,190,234
2011-11-25,0.81,1,0,4,0.2879,0.28,2,4,6,10
2011-11-10,0.94,1,0,4,0.3939,0.38,4,1,2,3
2011-10-03,0.76,3,0,4,0.4091,0.4,15,22,79,101
2012-04-12,0.65,1,0,2,0.2727,0.3,7,12,294,306
2012-04-09,0.24,1,0,2,0.4394,0.44,5,2,30,32
2012-11-21,0.81,1,0,4,0.3636,0.34,0,1,25,26
2011-04-05,0.94,3,0,2,0.4545,0.46,5,0,5,5
2011-07-26,0.36,1,0,3,0.7576,0.86,16,41,213,254
2012-04-19,0.49,1,0,2,0.5152,0.54,12,51,213,264
2012-12-10,1.0,3,0,4,0.4394,0.44,13,30,190,220
2011-03-11,1.0,2,0,1,0.3485,0.34,0,0,6,6
2011-03-11,0.52,2,0,1,0.2879,0.3,21,10,43,53
2012-04-04,0.58,2,0,2,0.4242,0.42,6,6,120,126
2012-10-01,0.64,3,0,4,0.5303,0.56,18,42,571,613
2011-04-14,0.76,1,0,2,0.3939,0.38,1,1,9,10
2012-08-28,0.55,1,0,3,0.7273,0.78,11,47,171,218
2012-01-19,0.54,1,0,1,0.1515,0.12,4,0,1,1
2011-09-01,0.78,1,0,3,0.5758,0.6,0,18,33,51
2012-11-12,0.76,1,1,4,0.4091,0.4,4,1,3,4
2012-02-13,0.25,1,0,1,0.3182,0.34,18,6,399,405
2012-10-11,0.66,1,0,4,0.4091,0.4,22,10,167,177
2012-04-30,0.41,2,0,2,0.4242,0.42,10,41,116,157
2011-11-13,0.42,2,0,4,0.4848,0.5,15,89,221,310
2012-12-12,0.52,2,0,4,0.2879,0.3,21,16,186,202
2011-02-26,0.46,1,0,1,0.3333,0.36,16,41,130,171
2012-04-15,0.39,1,0,2,0.6364,0.7,15,266,351,617
2011-03-06,1.0,2,0,1,0.4242,0.42,10,4,27,31
2011-08-31,0.57,1,0,3,0.6212,0.66,20,30,259,289
2012-03-01,0.94,3,0,1,0.4545,0.46,1,0,12,12
2011-12-15,0.7,1,0,4,0.3182,0.32,0,5,45,50
2011-08-20,0.74,2,0,3,0.6667,0.7,22,77,146,223
2012-10-31,0.58,2,0,4,0.4091,0.4,18,28,556,584
2011-08-17,0.55,1,0,3,0.697,0.76,19,50,297,347
2012-02-18,0.7,1,0,1,0.2576,0.24,5,0,1,1
2012-11-10,0.81,1,0,4,0.3333,0.3,3,9,11,20
2011-05-31,0.39,1,0,2,0.8333,0.9,16,44,205,249
2011-04-01,0.93,2,0,2,0.2273,0.24,3,0,4,4
2011-10-24,0.82,2,0,4,0.4394,0.44,9,29,166,195
2011-03-08,0.25,2,0,1,0.3939,0.38,13,25,73,98
2012-12-18,0.88,1,0,4,0.4242,0.42,3,0,5,5
2012-08-03,0.7,1,0,3,0.6818,0.72,8,32,636,668
2012-08-23,0.69,2,0,3,0.6212,0.66,23,24,133,157
2011-07-25,0.84,1,0,3,0.6667,0.7,21,41,153,194
2012-01-28,0.41,1,0,1,0.4242,0.42,18,40,201,241
2012-12-24,0.93,2,0,1,0.2879,0.24,22,7,5,12
2011-09-09,0.94,1,0,3,0.5455,0.62,23,35,113,148
2011-02-24,0.87,2,0,1,0.303,0.34,21,7,76,83
2012-04-11,0.36,1,0,2,0.303,0.34,0,8,22,30
2011-11-19,0.48,1,0,4,0.2273,0.26,4,4,4,8
2011-12-12,0.86,1,0,4,0.1515,0.14,7,4,231,235
2012-02-14,0.5,2,0,1,0.3636,0.36,21,4,105,109
2012-01-18,0.37,1,0,1,0.2121,0.22,20,1,164,165
2012-06-25,0.69,1,0,3,0.6364,0.68,3,1,4,5
2012-07-28,0.79,1,0,3,0.6364,0.68,5,4,10,14
2012-02-24,0.37,1,0,1,0.3939,0.38,23,10,76,86
2011-04-27,0.88,2,0,2,0.5455,0.58,7,17,229,246
2011-10-07,0.82,1,0,4,0.4242,0.42,5,3,24,27
2012-02-10,0.55,1,0,1,0.2273,0.22,9,10,265,275
2011-02-26,0.43,1,0,1,0.3485,0.36,17,53,130,183
2012-05-23,0.78,2,0,2,0.5909,0.62,9,39,258,297
2011-12-25,0.8,1,0,1,0.2424,0.22,7,0,4,4
2012-01-12,0.81,2,0,1,0.3485,0.34,11,18,101,119
2012-01-18,0.32,1,0,1,0.2121,0.24,18,8,347,355
2011-11-02,0.71,1,0,4,0.4242,0.42,18,31,448,479
2011-05-08,0.59,2,0,2,0.4848,0.5,0,22,78,100
2012-05-31,0.31,1,0,2,0.6667,0.76,14,61,193,254
2011-11-17,0.49,2,0,4,0.303,0.34,14,5,105,110
2012-09-29,0.6,1,0,4,0.5152,0.54,1,12,89,101
2011-12-16,0.59,2,0,4,0.4848,0.5,4,1,4,5
2011-03-10,0.0,3,0,1,0.3939,0.38,7,1,36,37
2012-01-01,0.59,3,0,1,0.4545,0.46,18,25,81,106
2011-06-03,0.4,1,0,2,0.5455,0.58,9,36,194,230
2011-08-05,0.78,1,0,3,0.5909,0.64,5,0,16,16
2011-03-14,0.53,1,0,1,0.3485,0.32,23,2,17,19
2012-09-22,0.57,1,0,3,0.6212,0.64,21,59,202,261
2011-06-06,0.54,1,0,2,0.6667,0.72,19,64,343,407
2011-04-17,0.34,1,0,2,0.5,0.52,14,170,191,361
2012-05-27,0.73,1,0,2,0.6061,0.64,3,11,25,36
2011-11-08,0.87,1,0,4,0.3182,0.3,5,1,17,18
2012-10-16,0.41,1,0,4,0.5152,0.54,15,76,270,346
2011-07-06,0.66,2,0,3,0.697,0.74,12,38,114,152
2011-03-23,0.76,2,0,2,0.3182,0.34,3,0,3,3
2011-05-22,0.61,2,0,2,0.6212,0.66,15,110,221,331
2011-03-21,0.81,1,0,2,0.303,0.32,5,1,1,2
2011-03-14,0.34,2,0,1,0.3939,0.38,14,27,52,79
2011-05-24,0.94,2,0,2,0.5455,0.58,6,10,102,112
2012-12-08,0.87,2,0,4,0.4091,0.4,13,148,399,547
2011-07-30,0.49,1,0,3,0.7424,0.8,21,82,123,205
2012-05-10,0.88,2,0,2,0.4697,0.48,1,2,9,11
2011-09-20,0.88,2,0,3,0.5152,0.54,6,3,111,114
2012-05-23,0.61,2,0,2,0.6515,0.7,15,65,192,257
2011-11-05,0.4,1,0,4,0.3939,0.38,17,100,234,334
2011-08-03,0.55,2,0,3,0.697,0.76,5,2,22,24
2012-03-08,0.41,2,0,1,0.6212,0.62,16,37,305,342
2012-01-24,0.76,1,0,1,0.3485,0.32,23,19,80,99
2011-03-07,0.48,1,0,1,0.2576,0.26,22,1,34,35
2011-10-24,0.68,1,0,4,0.5,0.52,17,87,527,614
2011-12-11,0.55,1,0,4,0.2424,0.18,7,1,30,31
2012-09-19,0.6,1,0,3,0.5152,0.54,9,26,336,362
2011-06-29,0.35,1,0,3,0.6667,0.76,12,55,188,243
2011-01-14,0.69,2,0,1,0.2273,0.16,22,2,34,36
2012-03-11,0.52,1,0,1,0.2424,0.24,1,4,57,61
2012-04-23,0.82,3,0,2,0.2727,0.3,17,13,219,232
2011-05-26,0.83,2,0,2,0.6061,0.66,8,31,458,489
2011-09-26,0.74,2,0,4,0.6667,0.7,13,48,139,187
2012-07-26,0.45,1,0,3,0.8636,0.9,17,110,628,738
2011-12-19,0.46,1,0,4,0.3939,0.38,15,24,135,159
2011-08-22,0.61,1,0,3,0.6212,0.66,7,11,270,281
2012-06-24,0.46,1,0,3,0.697,0.78,20,108,224,332
2011-10-18,0.82,1,0,4,0.4697,0.48,0,8,23,31
2012-09-09,0.39,1,0,3,0.6364,0.68,13,238,491,729
2012-11-18,0.81,1,0,4,0.2879,0.28,5,5,7,12
2011-03-26,0.55,1,0,2,0.1818,0.18,6,2,8,10
2011-11-23,0.61,1,0,4,0.303,0.34,22,3,59,62
2012-07-04,0.79,1,1,3,0.6364,0.68,0,19,140,159
2011-05-10,0.43,2,0,2,0.5303,0.56,11,17,108,125
2011-06-29,0.29,1,0,3,0.697,0.8,18,78,510,588
2011-03-04,0.74,1,0,1,0.197,0.18,8,6,222,228
2012-06-08,0.53,1,0,2,0.6212,0.62,9,47,335,382
2012-08-30,0.45,1,0,3,0.6818,0.76,12,73,221,294
2012-05-20,0.68,1,0,2,0.5,0.52,7,35,55,90
2011-06-08,0.41,1,0,2,0.7576,0.84,11,28,106,134
2011-08-23,0.5,2,0,3,0.6212,0.62,8,43,461,504
2011-01-26,0.65,2,0,1,0.2424,0.24,1,0,5,5
2011-05-18,0.88,1,0,2,0.5152,0.54,7,14,260,274
2011-10-10,0.77,1,1,4,0.5152,0.54,9,58,161,219
2011-01-10,0.4,1,0,1,0.2121,0.2,16,4,70,74
2012-11-23,0.41,1,0,4,0.4697,0.48,15,233,214,447
2012-02-11,0.81,3,0,1,0.2879,0.28,1,2,43,45
2011-09-04,0.59,1,0,3,0.7727,0.8,16,196,141,337
2011-11-13,0.28,2,0,4,0.5152,0.54,16,93,226,319
2012-07-14,0.79,1,0,3,0.6667,0.7,22,65,160,225
2012-08-01,0.78,2,0,3,0.5909,0.64,5,3,46,49
2011-07-13,0.58,1,0,3,0.6818,0.74,6,18,103,121
